fight_id,event_name,fight_date,weight_class,winner,win_method,detail,round,end_time,referee,city,state,country,title_bout
1,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Scott Morris,Submission,Guillotine Choke From Mount,1,0:20,John McCarthy,Denver,Colorado,USA,False
2,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Patrick Smith,Submission,Guillotine Choke Standing,1,0:58,John McCarthy,Denver,Colorado,USA,False
3,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Johnny Rhodes,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,12:13,John McCarthy,Denver,Colorado,USA,False
4,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Frank Hamaker,Submission,Keylock From Half Guard,1,4:52,John McCarthy,Denver,Colorado,USA,False
5,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Orlando Wiet,KO/TKO,"to    
      Corner Stoppage",1,2:50,John McCarthy,Denver,Colorado,USA,False
6,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Remco Pardoel,Submission,Ezekiel Choke From Side Control,1,9:51,John McCarthy,Denver,Colorado,USA,False
7,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Jason DeLucia,Submission,Triangle Choke From Mount,1,6:41,John McCarthy,Denver,Colorado,USA,False
8,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar On Ground,1,5:08,John McCarthy,Denver,Colorado,USA,False
9,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Patrick Smith,KO/TKO,Elbows to Head From Mount,1,0:30,John McCarthy,Denver,Colorado,USA,False
10,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Johnny Rhodes,Submission,Bulldog Choke On Ground,1,3:07,John McCarthy,Denver,Colorado,USA,False
11,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Remco Pardoel,KO/TKO,Elbows to Head From Side Control,1,1:29,John McCarthy,Denver,Colorado,USA,False
12,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar From Mount,1,1:07,John McCarthy,Denver,Colorado,USA,False
13,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Patrick Smith,Submission,Guillotine Choke Standing,1,1:07,John McCarthy,Denver,Colorado,USA,False
14,UFC 2: No Way Out,"March 11, 1994",Open Weight Bout,Royce Gracie,Submission,Gi Choke From Back Control,1,1:31,John McCarthy,Denver,Colorado,USA,False
15,UFC 2: No Way Out,"March 11, 1994",UFC 2 Tournament Title Bout,Royce Gracie,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:17,John McCarthy,Denver,Colorado,USA,True
16,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Keith Hackney,KO/TKO,Punches to Head On Ground,1,1:59,John McCarthy,Charlotte,North Carolina,USA,False
17,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Ken Shamrock,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,4:49,John McCarthy,Charlotte,North Carolina,USA,False
18,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Harold Howard,KO/TKO,Punches to Head In Clinch,1,0:46,John McCarthy,Charlotte,North Carolina,USA,False
19,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar From Bottom Guard,1,4:40,John McCarthy,Charlotte,North Carolina,USA,False
20,UFC 3: The American Dream,"September 09, 1994",Open Weight Bout,Ken Shamrock,Submission,Rear Naked Choke,1,4:34,John McCarthy,Charlotte,North Carolina,USA,False
21,UFC 3: The American Dream,"September 09, 1994",UFC 3 Tournament Title Bout,Steve Jennum,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,1:27,John McCarthy,Charlotte,North Carolina,USA,True
22,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Joe Charles,Submission,Armbar,1,0:14,John McCarthy,Tulsa,Oklahoma,USA,False
23,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Marcus Bossett,KO/TKO,to,1,4:55,John McCarthy,Tulsa,Oklahoma,USA,False
24,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Guy Mezger,KO/TKO,"to    
      Corner Stoppage",1,2:13,John McCarthy,Tulsa,Oklahoma,USA,False
25,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Royce Gracie,Submission,Rear Naked Choke,1,3:49,John McCarthy,Tulsa,Oklahoma,USA,False
26,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Keith Hackney,Submission,Other - Choke From Side Control,1,2:44,John McCarthy,Tulsa,Oklahoma,USA,False
27,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Steve Jennum,Submission,Armbar From Mount,1,4:47,John McCarthy,Tulsa,Oklahoma,USA,False
28,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Dan Severn,Submission,Rear Naked Choke,1,1:45,John McCarthy,Tulsa,Oklahoma,USA,False
29,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Royce Gracie,Submission,Armbar From Bottom Guard,1,5:32,John McCarthy,Tulsa,Oklahoma,USA,False
30,UFC 4: Revenge of the Warriors,"December 16, 1994",Open Weight Bout,Dan Severn,Submission,Arm Triangle From Mount,1,0:52,John McCarthy,Tulsa,Oklahoma,USA,False
31,UFC 4: Revenge of the Warriors,"December 16, 1994",UFC 4 Tournament Title Bout,Royce Gracie,Submission,Triangle Choke From Bottom Guard,1,15:49,John McCarthy,Tulsa,Oklahoma,USA,True
32,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dave Beneteau,KO/TKO,"to    
      Corner Stoppage",1,0:21,Lonnie Foster,Charlotte,North Carolina,USA,False
33,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Guy Mezger,KO/TKO,Punches to Head From Mount,1,2:02,John McCarthy,Charlotte,North Carolina,USA,False
34,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Jon Hess,KO/TKO,Knees to Head On Ground,1,1:23,John McCarthy,Charlotte,North Carolina,USA,False
35,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Todd Medina,Submission,Forearm Choke From Half Guard,1,2:55,John McCarthy,Charlotte,North Carolina,USA,False
36,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Oleg Taktarov,Submission,Scarf Hold From Side Control,1,2:23,John McCarthy,Charlotte,North Carolina,USA,False
37,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dan Severn,Submission,Rear Naked Choke,1,1:38,John McCarthy,Charlotte,North Carolina,USA,False
38,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dave Beneteau,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,2:12,John McCarthy,Charlotte,North Carolina,USA,False
39,UFC 5: The Return of the Beast,"April 07, 1995",Open Weight Bout,Dan Severn,TKO - Doctor's Stoppage,Facial Cut,1,4:21,John McCarthy,Charlotte,North Carolina,USA,False
40,UFC 5: The Return of the Beast,"April 07, 1995",UFC Superfight Championship Bout,Draw,Other,Time Expired,2,5:00,John McCarthy,Charlotte,North Carolina,USA,True
41,UFC 5: The Return of the Beast,"April 07, 1995",UFC 5 Tournament Title Bout,Dan Severn,Submission,Keylock From Side Control,1,3:01,John McCarthy,Charlotte,North Carolina,USA,True
42,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Joel Sutton,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,2:01,John McCarthy,Casper,Wyoming,USA,False
43,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Anthony Macias,KO/TKO,"Headbutts to Head From Mount
      Submission to Strikes",1,3:06,John McCarthy,Casper,Wyoming,USA,False
44,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,David Abbott,KO/TKO,Punches to Head At Distance,1,0:20,John McCarthy,Casper,Wyoming,USA,False
45,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Paul Varelans,KO/TKO,Elbow to Head In Clinch,1,1:02,John McCarthy,Casper,Wyoming,USA,False
46,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Patrick Smith,Submission,Rear Naked Choke,1,1:08,John McCarthy,Casper,Wyoming,USA,False
47,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Oleg Taktarov,Submission,Guillotine Choke After Drop to Guard,1,0:57,John McCarthy,Casper,Wyoming,USA,False
48,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,David Abbott,KO/TKO,Punches to Head From Half Guard,1,1:53,John McCarthy,Casper,Wyoming,USA,False
49,UFC 6: Clash of the Titans,"July 14, 1995",Open Weight Bout,Oleg Taktarov,Submission,Guillotine Choke After Drop to Ground,1,0:09,John McCarthy,Casper,Wyoming,USA,False
50,UFC 6: Clash of the Titans,"July 14, 1995",UFC Superfight Championship Bout,Ken Shamrock,Submission,Guillotine Choke Standing,1,2:14,John McCarthy,Casper,Wyoming,USA,True
51,UFC 6: Clash of the Titans,"July 14, 1995",UFC 6 Tournament Title Bout,Oleg Taktarov,Submission,Rear Naked Choke,1,17:45,John McCarthy,Casper,Wyoming,USA,True
52,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Joel Sutton,TKO - Doctor's Stoppage,N/A,1,0:48,John McCarthy,Buffalo,New York,USA,False
53,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Onassis Parungao,KO/TKO,"to    
      Submission to Strikes",1,5:26,John McCarthy,Buffalo,New York,USA,False
54,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Scott Bessac,Submission,Guillotine Choke Standing,1,0:31,Taimak Guarriello,Buffalo,New York,USA,False
55,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Paul Varelans,KO/TKO,"Elbows to Head On Ground
      Submission to Strikes",1,1:05,John McCarthy,Buffalo,New York,USA,False
56,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Mark Hall,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,1:41,John McCarthy,Buffalo,New York,USA,False
57,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Remco Pardoel,Submission,Gi Choke From Mount,1,3:05,John McCarthy,Buffalo,New York,USA,False
58,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Marco Ruas,Submission,Heel Hook From Bottom Guard,1,3:23,John McCarthy,Buffalo,New York,USA,False
59,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Paul Varelans,Submission,Keylock From Mount,1,1:01,John McCarthy,Buffalo,New York,USA,False
60,UFC 7: The Brawl in Buffalo,"September 08, 1995",Open Weight Bout,Marco Ruas,Submission,"Other  
      Position - Mount",1,12:27,John McCarthy,Buffalo,New York,USA,False
61,UFC 7: The Brawl in Buffalo,"September 08, 1995",UFC Superfight Championship Bout,Draw,Other,Time Expired,2,3:00,John McCarthy,Buffalo,New York,USA,True
62,UFC 7: The Brawl in Buffalo,"September 08, 1995",UFC 7 Tournament Title Bout,Marco Ruas,KO/TKO,Kicks to Leg At Distance,1,13:17,John McCarthy,Buffalo,New York,USA,True
63,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,Joe Charles,Submission,Armbar,1,4:38,John McCarthy,Denver,Colorado,USA,False
64,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,Mark Hall,Submission,N/A,1,5:29,John McCarthy,Denver,Colorado,USA,False
65,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,David Abbott,Submission,Neck Crank From Guard,1,1:14,John McCarthy,Denver,Colorado,USA,False
66,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,Dan Severn,Submission,Arm Triangle From Side Control,1,1:01,John McCarthy,Denver,Colorado,USA,False
67,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,Marco Ruas,Submission,Rear Naked Choke,1,2:39,John McCarthy,Denver,Colorado,USA,False
68,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,Oleg Taktarov,Submission,Ankle Lock From Inoki-Ali Position,1,1:15,John McCarthy,Denver,Colorado,USA,False
69,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,Dan Severn,Decision - Unanimous,N/A,1,18:00,John McCarthy,Denver,Colorado,USA,False
70,UFC - Ultimate Ultimate '95,"December 16, 1995",Open Weight Bout,Oleg Taktarov,Decision - Unanimous,N/A,1,18:00,John McCarthy,Denver,Colorado,USA,False
71,UFC - Ultimate Ultimate '95,"December 16, 1995",Ultimate Ultimate '95 Tournament Title Bout,Dan Severn,Decision - Unanimous,N/A,2,3:00,John McCarthy,Denver,Colorado,USA,True
72,UFC 8: David vs Goliath,"February 16, 1996",Open Weight Bout,Sam Adkins,KO/TKO,"Punches to Head On Ground
      Submission to Strikes",1,0:50,John McCarthy,San Juan,,Puerto Rico,False
73,UFC 8: David vs Goliath,"February 16, 1996",Open Weight Bout,Don Frye,KO/TKO,Punch to Head At Distance,1,0:08,John McCarthy,San Juan,,Puerto Rico,False
74,UFC 8: David vs Goliath,"February 16, 1996",Open Weight Bout,Paul Varelans,Decision - Unanimous,N/A,1,10:00,John McCarthy,San Juan,,Puerto Rico,False
75,UFC 8: David vs Goliath,"February 16, 1996",Open Weight Bout,Jerry Bohlander,Submission,Guillotine Choke Standing,1,9:03,John McCarthy,San Juan,,Puerto Rico,False
76,UFC 8: David vs Goliath,"February 16, 1996",Open Weight Bout,Gary Goodridge,KO/TKO,Elbows to Head From Crucifix,1,0:13,John McCarthy,San Juan,,Puerto Rico,False
77,UFC 8: David vs Goliath,"February 16, 1996",Open Weight Bout,Don Frye,TKO - Doctor's Stoppage,Facial Cut,1,0:48,John McCarthy,San Juan,,Puerto Rico,False
78,UFC 8: David vs Goliath,"February 16, 1996",Open Weight Bout,Gary Goodridge,KO/TKO,Punch to Head On Ground,1,5:31,John McCarthy,San Juan,,Puerto Rico,False
79,UFC 8: David vs Goliath,"February 16, 1996",UFC Superfight Championship Bout,Ken Shamrock,Submission,Kneebar From Bottom Guard,1,4:24,John McCarthy,San Juan,,Puerto Rico,True
80,UFC 8: David vs Goliath,"February 16, 1996",UFC 8 Tournament Title Bout,Don Frye,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,2:14,John McCarthy,San Juan,,Puerto Rico,True
81,UFC 9: Motor City Madness,"May 17, 1996",Open Weight Bout,Steve Nelmark,TKO - Doctor's Stoppage,Facial Cuts,1,7:25,Joe Hamilton,Detroit,Michigan,USA,False
82,UFC 9: Motor City Madness,"May 17, 1996",Open Weight Bout,Cal Worsham,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,3:14,John McCarthy,Detroit,Michigan,USA,False
83,UFC 9: Motor City Madness,"May 17, 1996",Open Weight Bout,Rafael Carino,KO/TKO,Punches to Head From Mount,1,5:32,John McCarthy,Detroit,Michigan,USA,False
84,UFC 9: Motor City Madness,"May 17, 1996",Open Weight Bout,Mark Schultz,TKO - Doctor's Stoppage,Facial Cut,1,12:00,John McCarthy,Detroit,Michigan,USA,False
85,UFC 9: Motor City Madness,"May 17, 1996",Open Weight Bout,Mark Hall,TKO - Doctor's Stoppage,Nose Injury,1,0:47,John McCarthy,Detroit,Michigan,USA,False
86,UFC 9: Motor City Madness,"May 17, 1996",Open Weight Bout,Don Frye,KO/TKO,Knees to Head From Front Headlock,1,9:30,John McCarthy,Detroit,Michigan,USA,False
87,UFC 9: Motor City Madness,"May 17, 1996",UFC Superfight Championship Bout,Dan Severn,Decision - Split,N/A,3,3:00,John McCarthy,Detroit,Michigan,USA,True
88,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Geza Kalman,KO/TKO,Punches to Head At Distance,1,5:57,Joe Hamilton,Birmingham,Alabama,USA,False
89,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Sam Adkins,Decision - Unanimous,N/A,2,3:00,John McCarthy,Birmingham,Alabama,USA,False
90,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Don Frye,KO/TKO,Headbutt to Head From Guard,1,10:21,John McCarthy,Birmingham,Alabama,USA,False
91,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Brian Johnston,KO/TKO,Punches to Head From Back Control,1,2:25,John McCarthy,Birmingham,Alabama,USA,False
92,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Mark Coleman,KO/TKO,Punches to Head From Half Guard,1,2:43,John McCarthy,Birmingham,Alabama,USA,False
93,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Gary Goodridge,KO/TKO,Punches to Head From Mount,1,1:28,John McCarthy,Birmingham,Alabama,USA,False
94,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Don Frye,KO/TKO,"Elbows to Head From Side Control
      Submission to Strikes",1,4:37,John McCarthy,Birmingham,Alabama,USA,False
95,UFC 10: The Tournament,"July 12, 1996",Open Weight Bout,Mark Coleman,Submission,"Other From Back Control
      Position - Back Control",1,7:00,John McCarthy,Birmingham,Alabama,USA,False
96,UFC 10: The Tournament,"July 12, 1996",UFC 10 Tournament Title Bout,Mark Coleman,KO/TKO,Headbutts to Head From Side Control,1,11:34,John McCarthy,Birmingham,Alabama,USA,True
97,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,Scott Ferrozzo,Submission,Injury,1,1:45,John McCarthy,Augusta,Georgia,USA,False
98,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,Roberto Traven,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,1:33,Joe Hamilton,Augusta,Georgia,USA,False
99,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,Mark Coleman,Submission,Scarf Hold From Side Control,1,0:45,John McCarthy,Augusta,Georgia,USA,False
100,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,Brian Johnston,KO/TKO,Punches to Head From Mount,1,0:28,John McCarthy,Augusta,Georgia,USA,False
101,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,David Abbott,Submission,Forearm Choke From Half Guard,1,2:06,John McCarthy,Augusta,Georgia,USA,False
102,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,Jerry Bohlander,Decision - Unanimous,N/A,1,15:00,John McCarthy,Augusta,Georgia,USA,False
103,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,Mark Coleman,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,2:20,John McCarthy,Augusta,Georgia,USA,False
104,UFC 11: The Proving Ground,"September 20, 1996",Open Weight Bout,Scott Ferrozzo,Decision - Unanimous,N/A,2,3:00,John McCarthy,Augusta,Georgia,USA,False
105,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,Mark Hall,KO/TKO,to,1,1:45,John McCarthy,Birmingham,Alabama,USA,False
106,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,Steve Nelmark,Submission,Shoulder Choke From Half Guard,1,1:37,John McCarthy,Birmingham,Alabama,USA,False
107,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,Tai Bowden,KO/TKO,"Headbutts to Head On Ground
      Submission to Strikes",1,4:46,John McCarthy,Birmingham,Alabama,USA,False
108,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,Don Frye,Submission,"Other From Guard
      Fatigue",1,11:19,John McCarthy,Birmingham,Alabama,USA,False
109,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,David Abbott,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,2:51,John McCarthy,Birmingham,Alabama,USA,False
110,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,Kimo Leopoldo,KO/TKO,Punches to Head From Mount,1,9:08,John McCarthy,Birmingham,Alabama,USA,False
111,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,Ken Shamrock,Submission,Forearm Choke From Guard,1,5:48,John McCarthy,Birmingham,Alabama,USA,False
112,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,Don Frye,Submission,Ankle Lock After Drop to Ground,1,0:20,John McCarthy,Birmingham,Alabama,USA,False
113,UFC - Ultimate Ultimate '96,"December 07, 1996",Open Weight Bout,David Abbott,KO/TKO,Punch to Head In Clinch,1,1:03,John McCarthy,Birmingham,Alabama,USA,False
114,UFC - Ultimate Ultimate '96,"December 07, 1996",Ultimate Ultimate '96 Tournament Title Bout,Don Frye,Submission,Rear Naked Choke,1,1:22,John McCarthy,Birmingham,Alabama,USA,True
115,UFC 12: Judgement Day,"February 07, 1997",Lightweight Bout,Nick Sanzo,KO/TKO,to,1,0:48,John McCarthy,Dothan,Alabama,USA,False
116,UFC 12: Judgement Day,"February 07, 1997",Heavyweight Bout,Justin Martin,Submission,Heel Hook,1,0:14,John McCarthy,Dothan,Alabama,USA,False
117,UFC 12: Judgement Day,"February 07, 1997",Lightweight Bout,Jerry Bohlander,Submission,Rear Naked Choke,1,1:24,John McCarthy,Dothan,Alabama,USA,False
118,UFC 12: Judgement Day,"February 07, 1997",Lightweight Bout,Yoshiki Takahashi,Decision - Unanimous,N/A,2,3:00,John McCarthy,Dothan,Alabama,USA,False
119,UFC 12: Judgement Day,"February 07, 1997",Heavyweight Bout,Scott Ferrozzo,KO/TKO,Knees to Head On Ground,1,8:02,John McCarthy,Dothan,Alabama,USA,False
120,UFC 12: Judgement Day,"February 07, 1997",Heavyweight Bout,Vitor Belfort,KO/TKO,"Elbows to Head From Side Control
      Submission to Strikes",1,1:17,John McCarthy,Dothan,Alabama,USA,False
121,UFC 12: Judgement Day,"February 07, 1997",Lightweight Bout,Jerry Bohlander,Submission,Neck Crank From Crucifix,1,0:39,John McCarthy,Dothan,Alabama,USA,False
122,UFC 12: Judgement Day,"February 07, 1997",Heavyweight Bout,Vitor Belfort,KO/TKO,Punches to Head On Ground,1,0:43,John McCarthy,Dothan,Alabama,USA,False
123,UFC 12: Judgement Day,"February 07, 1997",UFC Heavyweight Title Bout,Mark Coleman,Submission,Scarf Hold From Side Control,1,2:57,John McCarthy,Dothan,Alabama,USA,True
124,UFC 13: The Ultimate Force,"May 30, 1997",Lightweight Bout,Tito Ortiz,KO/TKO,Punches to Head From Mount,1,0:31,Joe Hamilton,Augusta,Georgia,USA,False
125,UFC 13: The Ultimate Force,"May 30, 1997",Lightweight Bout,Jack Nilson,KO/TKO,Elbows to Head From Back Control,1,1:23,Joe Hamilton,Augusta,Georgia,USA,False
126,UFC 13: The Ultimate Force,"May 30, 1997",Lightweight Bout,Guy Mezger,Decision - Unanimous,N/A,2,3:00,John McCarthy,Augusta,Georgia,USA,False
127,UFC 13: The Ultimate Force,"May 30, 1997",Lightweight Bout,Enson Inoue,Submission,Armbar From Bottom Guard,1,1:36,John McCarthy,Augusta,Georgia,USA,False
128,UFC 13: The Ultimate Force,"May 30, 1997",Heavyweight Bout,Steven Graham,Submission,Keylock From Side Control,1,1:30,John McCarthy,Augusta,Georgia,USA,False
129,UFC 13: The Ultimate Force,"May 30, 1997",Heavyweight Bout,Randy Couture,Submission,Rear Naked Choke,1,0:56,John McCarthy,Augusta,Georgia,USA,False
130,UFC 13: The Ultimate Force,"May 30, 1997",UFC 13 Lightweight Tournament Title Bout,Guy Mezger,Submission,Guillotine Choke After Drop to Ground,1,2:00,John McCarthy,Augusta,Georgia,USA,True
131,UFC 13: The Ultimate Force,"May 30, 1997",UFC 13 Heavyweight Tournament Title Bout,Randy Couture,KO/TKO,Punches to Head From Back Control,1,3:13,John McCarthy,Augusta,Georgia,USA,True
132,UFC 13: The Ultimate Force,"May 30, 1997",Heavyweight Bout,Vitor Belfort,KO/TKO,Punches to Head On Ground,1,0:52,John McCarthy,Augusta,Georgia,USA,False
133,UFC 14: Showdown,"July 27, 1997",Lightweight Bout,Tony Fryklund,Submission,"Other - Choke From Mount
      Strangle Choke",1,1:31,Joe Hamilton,Birmingham,Alabama,USA,False
134,UFC 14: Showdown,"July 27, 1997",Heavyweight Bout,Alex Hunter,Submission,"Other  
      Position - Back Control",1,2:30,Joe Hamilton,Birmingham,Alabama,USA,False
135,UFC 14: Showdown,"July 27, 1997",Lightweight Bout,Joe Moreira,Decision - Unanimous,N/A,2,3:00,John McCarthy,Birmingham,Alabama,USA,False
136,UFC 14: Showdown,"July 27, 1997",Lightweight Bout,Kevin Jackson,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,1:27,John McCarthy,Birmingham,Alabama,USA,False
137,UFC 14: Showdown,"July 27, 1997",Heavyweight Bout,Mark Kerr,KO/TKO,Punches to Head From Half Guard,1,2:22,John McCarthy,Birmingham,Alabama,USA,False
138,UFC 14: Showdown,"July 27, 1997",Heavyweight Bout,Dan Bobish,Submission,Forearm Choke On Ground,1,2:10,John McCarthy,Birmingham,Alabama,USA,False
139,UFC 14: Showdown,"July 27, 1997",UFC 14 Middleweight Tournament Title Bout,Kevin Jackson,Submission,Rear Naked Choke,1,0:44,John McCarthy,Birmingham,Alabama,USA,True
140,UFC 14: Showdown,"July 27, 1997",UFC 14 Heavyweight Tournament Title Bout,Mark Kerr,Submission,"Other From Mount
      Chin to Eye",1,1:38,John McCarthy,Birmingham,Alabama,USA,True
141,UFC 14: Showdown,"July 27, 1997",UFC Heavyweight Title Bout,Maurice Smith,Decision - Unanimous,N/A,3,3:00,John McCarthy,Birmingham,Alabama,USA,True
142,UFC 15: Collision Course,"October 17, 1997",Heavyweight Bout,Alex Hunter,Decision - Split,N/A,1,12:00,Joe Hamilton,Bay St. Louis,Mississippi,USA,False
143,UFC 15: Collision Course,"October 17, 1997",Heavyweight Bout,Dwayne Cason,KO/TKO,Punches to Head From Guard,1,3:43,Joe Hamilton,Bay St. Louis,Mississippi,USA,False
144,UFC 15: Collision Course,"October 17, 1997",Heavyweight Bout,Mark Kerr,KO/TKO,Knee to Head In Clinch,1,0:17,John McCarthy,Bay St. Louis,Mississippi,USA,False
145,UFC 15: Collision Course,"October 17, 1997",Heavyweight Bout,Dave Beneteau,Decision - Unanimous,N/A,2,3:00,John McCarthy,Bay St. Louis,Mississippi,USA,False
146,UFC 15: Collision Course,"October 17, 1997",Heavyweight Bout,Randy Couture,KO/TKO,Punches to Head From Half Guard,1,8:16,John McCarthy,Bay St. Louis,Mississippi,USA,False
147,UFC 15: Collision Course,"October 17, 1997",UFC 15 Heavyweight Tournament Title Bout,Mark Kerr,Submission,Rear Naked Choke,1,0:53,John McCarthy,Bay St. Louis,Mississippi,USA,True
148,UFC 15: Collision Course,"October 17, 1997",UFC Heavyweight Title Bout,Maurice Smith,Submission,"Other  
      Fatigue",1,8:08,John McCarthy,Bay St. Louis,Mississippi,USA,True
149,UFC - Ultimate Japan,"December 21, 1997",Heavyweight Bout,Tra Telligman,Submission,Armbar From Bottom Guard,1,10:05,Joe Hamilton,Yokohama,Kanagawa,Japan,False
150,UFC - Ultimate Japan,"December 21, 1997",Heavyweight Bout,David Abbott,Decision - Unanimous,N/A,2,3:00,John McCarthy,Yokohama,Kanagawa,Japan,False
151,UFC - Ultimate Japan,"December 21, 1997",Heavyweight Bout,Draw,Overturned,Early Stoppage,1,1:51,John McCarthy,Yokohama,Kanagawa,Japan,False
152,UFC - Ultimate Japan,"December 21, 1997",UFC Light Heavyweight Title Bout,Frank Shamrock,Submission,Armbar From Bottom Guard,1,0:16,John McCarthy,Yokohama,Kanagawa,Japan,True
153,UFC - Ultimate Japan,"December 21, 1997",Heavyweight Bout,Vitor Belfort,Submission,Armbar From Mount,1,4:03,John McCarthy,Yokohama,Kanagawa,Japan,False
